id,name,rating,zipcode,prices
305,Med Cuisine,4.5,85711,?
306,Canyon Cafe,4.0,85750,$$$
307,Jimmy's Pita & Poke,4.5,85741,$$
308,Welcome Diner,4.0,85719,$$
309,1702,4.0,85719,$$
310,Cielos,4.0,85711,$$$
311,Sausage Shop Meat Market and Deli,4.5,85705,$
312,Bazil's,3.5,85718,$$
313,Dickman's Meat & Deli,4.0,85710,$
314,Birrieria Guadalajara,4.0,85713,$
315,El Perro Loco,5.0,85713,$
316,New Asia Chinese Restaurant,4.0,85745,$
317,Teresa's Mosaic Cafe,3.0,85745,$$
318,Thai China Bistro,3.5,85712,$
319,Sullivan's Eatery and Creamery,4.0,85704,$
320,W XYZ Bar,4.0,85719,$$
321,Los Olivos,4.5,85745,$
322,Raising Cane’s Chicken Fingers,3.5,85716,$
323,Toss,4.5,85711,?
324,Risky Business,3.5,85750,$$
325,Sushi On Oracle,4.5,85704,$$
326,Anita Street Market,4.5,85705,$
327,Bangkok Cafe,3.0,85716,$$
328,Azul Restaurant and Lounge,3.5,85718,$$$
329,Craft Republic,3.5,85741,$$
330,The curry pot - srilankan fusion foodtruck,4.5,85706,$$
331,The Dutch Eatery & Refuge,3.5,85719,$$
332,Stack’s Culinary Creations,5.0,85707,?
333,Guiseppe's Ristorante Italiano,3.5,85704,$$
334,European Market & Deli,4.0,85712,$
335,Mariscos Baja Mar,5.0,85705,?
336,Baja Cafe on Campbell,4.5,85719,$$
337,Claim Jumper Restaurant & Saloon,3.0,85716,$$
338,Hana Tokyo,3.5,85706,$$
339,Fish Wok,3.5,85716,?
340,El Minuto Cafe,3.5,85701,$$
341,Graze,4.0,85711,$$
342,Mama Louisa's,3.5,85711,$$
343,El Sushi de Papá,4.5,85714,?
344,Oregano's,3.5,85714,$$
345,Kappy's Bar & Sandwich Place,4.0,85712,$
346,QuikTrip,4.0,85719,$
347,E. River Bar,4.5,85750,$$
348,Los Mezquites,5.0,85746,?
349,Original Cuisine,4.0,85719,?
350,Foxy Roxy's Chicken 'n Cone,4.0,85711,?
351,Surly Wench Pub,4.0,85705,$
352,Sausage Deli,4.0,85719,$
353,Pat's Drive In,3.5,85745,$
354,Empire Pizza & Pub,4.0,85701,$
355,Whataburo On 4th,4.0,85705,$
356,Rusty's Family Restaurant & Sports Grille,3.5,85745,$$
357,Illegal Pete's - Tucson,3.5,85719,$$
358,BrushFire BBQ,3.5,85719,$$
359,Bistro 44,3.5,85715,$$
360,Kababeque Indian Grill,3.5,85719,$
361,4 Seasons,4.5,85705,$
362,Chef Chic,5.0,85711,?
363,Gandhi Cuisine of India,4.0,85705,$
364,Mystery & Magic Dinner Theater Playhouse,3.0,85718,$$$$
365,Nevada Smith's Saloon,3.5,85705,$
366,Mariscos Mi Mazatlan,4.0,85711,$$
367,El Guero Canelo,4.0,85711,$
368,El Torero,4.0,85713,$
369,Bianchi's Italian,3.0,85745,$$
370,El Taco Tote,3.5,85704,$
371,Taco Fish,4.5,85714,$
372,Raptor Canyon Cafe,5.0,85701,?
373,Sushison Tucson,4.0,85713,?
374,Fresco Pizzeria,4.0,85716,$$
375,Sonoran Mexican Cuisine,4.0,85714,?
376,TallBoys,4.0,85705,$$
377,Trident Grill IV,3.5,85741,$$
378,St Mary's Mexican Food,4.0,85745,$
379,Outlaw Saloon,4.5,85705,$
380,Cafe Botanica,4.0,85712,$$
381,El Taco Tote,4.0,85712,$
382,Frog & Firkin,3.5,85719,$$
383,Filiberto's,5.0,85715,?
384,Saigon Pho,3.0,85719,$
385,Sonoran Delights,4.0,85745,$
386,LongHorn Steakhouse,3.5,85705,$$
387,Sushi-Cho,4.0,85719,$$
388,Sushi-Ten,3.5,85712,$$
389,Blue Willow Restaurant & Gift Shop,4.0,85719,$$
390,Crispy's Fish-n-Chips,3.5,85719,$
391,Wings Over Broadway,3.5,85711,$
392,Walter’s Pizzeria,5.0,85713,?
393,Brothers Noodles,3.5,85712,$
394,Peking Palace,4.0,85710,$
395,Years Asian Bistro & BBQ,3.0,85705,?
396,El Perrito Sonoran Hot Dogs,5.0,85714,?
397,S. Antojitos Salvadoreños,4.5,85746,?
398,Pelio Grill,3.5,85719,$$
399,Guillermo's Double L Restaurant,3.0,85713,$$
400,Jimmy's Pizzeria,4.0,85750,$$
401,Mariscos El Bochas,4.0,85706,?
402,No Anchovies,4.0,85719,$
403,Martin's Comida Chingona,4.0,85707,$$
404,Maico,4.5,85713,$
405,Mr. Baja Fish,4.0,85705,$
406,Nate's Metro Deli,4.5,85715,?
407,Signature Grill,3.5,85745,$$$
408,Nur  Market & Restaurant,4.5,85716,$$
409,India Oven,3.5,85719,$$
410,Shogun Japanese Restaurant & Sushi Bar,3.5,85704,$$
411,Monster Sonoran Hot Dogs,3.5,85745,?
412,Fonda La Hermanita,5.0,85701,?
413,Cascade Lounge at Loews Ventana Canyon,3.5,85750,?
414,Red Garter Saloon,4.0,85716,$
415,Fat Noodle,3.0,85719,$$
416,El Pacotote,5.0,85711,?
417,BK Tacos,4.0,85706,$$
418,Sabino's Pool Bar & Grill,4.0,85718,$$$
419,Sauce Pizza & Wine,4.0,85719,$$
420,Casa Molina,3.0,85712,$$
421,Terraza Garden Patio & Lounge,3.5,85718,$$
422,Monterey Court,3.5,85705,$$
423,Jimmy's Pita & Poke,4.0,85719,$
424,Trident Pizza Pub,3.5,85719,$$
425,4th Avenue Delicatessen,4.5,85705,$
426,Habanero’s,3.5,85715,?
427,LongHorn Steakhouse,3.0,85711,$$
428,Ciao Down,4.5,85641,?
429,Tanias 33 Mexican Food,4.0,85745,$
430,The Taco Shop Company,3.5,85719,$
431,La Parrilla Suiza,3.0,85712,$$
432,China Phoenix Restaurant,3.5,85704,$$
433,Whiskey Roads,3.0,85741,$$
434,Rosa's Mexican Food Restaurant,3.5,85719,$$
435,Tony's Italian Deli,3.5,85711,$
436,El Sinaloense Hot Dog Cart,4.5,85712,$
437,Raising Cane's,3.5,85710,$
438,ChickeNuevo,4.0,85716,$
439,Gigi's Mexican Peruvian Fusion,4.0,,$
440,Cheba Hut,3.5,85719,$
441,Sinbad's,3.5,85719,$$
442,Famous Dave's Bar-B-Que,3.0,85716,$$
443,El Merendero,4.0,85706,$
444,Batch Cafe & Bar,3.5,85701,$$
445,Don Pedro's Peruvian Bistro,3.5,85714,$$
446,Tucson Fat Noodle,3.5,85702,$
447,The Dinner Detective,5.0,85701,?
448,Old Peking,3.0,85716,$$
449,MOD Pizza,4.5,85710,$$
450,Urban Fresh,5.0,85701,$
451,Jason's Mexican Food,4.0,85741,?
452,Bobo's Restaurant,4.5,85716,$
453,Shooter's Steakhouse and Saloon,3.0,85716,$$
454,IBT's,3.5,85705,$
455,Alloro D.O.C.,4.0,85710,$$
456,Nomico Healthy Dessert,3.5,85705,$
457,Leo's,4.0,85712,$
458,Red Robin Gourmet Burgers and Brews,3.0,32246,$$
459,Maynards Market & Kitchen,4.0,85701,$$
460,Ricuras de Venezuela,4.0,85701,$
461,Eclectic Cafe,4.0,85715,$$
462,Planet Sub,4.5,85713,?
463,Char's Thai,3.5,85711,$$
464,Mustache Mike's Italian Ice,5.0,85712,?
465,Bisbee Breakfast Club,4.0,85716,$$
466,Dao's Tai Pan's,3.5,85711,$
467,King's Restaurant,4.0,85705,$
468,Baja Cafe On Ina,4.5,85741,$$
469,AJ's Fine Foods,4.0,85718,$$
470,The Bite at American Eat,5.0,85713,?
471,Randolph Grille,4.0,85711,$$
472,La Placita Cafe,4.0,85712,$$
473,Sauce Pizza & Wine,4.5,85711,$$
474,Churasco De Brazil,4.5,85705,?
475,Percheron,4.0,85714,$
476,Greenheart Bakery,5.0,85718,$
477,Cappy's Breakfast Cafe,4.5,85705,$
478,Royal Sun Restaurant & Bar,4.0,85705,$$
479,Francisco's De Noche,4.0,85716,$
480,La Parrilla Suiza,3.0,85705,$$
481,Taqueria Paceña,5.0,85705,?
482,Brooklyn's Beer & Burgers,3.5,85714,$$
483,Salud,3.5,85745,$$
484,QuikTrip,4.0,85712,$
485,Street- Taco and Beer Co.,4.5,85711,$
486,QuikTrip,4.5,85745,$
487,Los Ponchos Hot Dogs,4.5,85719,?
488,QuikTrip,4.5,85718,$
489,Core,3.5,85719,?
490,Cody's Beef 'n Beans,3.5,85716,$$
491,Plazita Mexico Cafe,5.0,85710,?
492,Cattletown Steakhouse & Saloon,2.5,85706,$$
493,Sachiko Sushi,4.0,85712,$$
494,Zing Zing's,3.5,85719,?
495,Chatime - Bubble Tea Cafe,3.5,85719,$
496,Cafe A La Cart,4.5,85701,$$
497,BZ's Pizza and Italian Kitchen,4.0,85715,$$
498,Gold,3.5,85704,$$
499,Dao's Tai Pan's Restaurant,3.5,85719,$$
